VehicleID,Lane,Frame,Timestamp
554,1,1837,0:01:01.233333
564,1,1856,0:01:01.866667
568,2,1886,0:01:02.866667
578,1,1923,0:01:04.100000
581,1,1933,0:01:04.433333
585,1,1938,0:01:04.600000
591,2,1946,0:01:04.866667
600,1,1976,0:01:05.866667
603,2,1984,0:01:06.133333
605,2,1987,0:01:06.233333
593,1,1998,0:01:06.600000
607,1,2012,0:01:07.066667
614,2,2022,0:01:07.400000
617,1,2036,0:01:07.866667
621,1,2047,0:01:08.233333
627,1,2064,0:01:08.800000
635,1,2082,0:01:09.400000
638,2,2083,0:01:09.433333
642,1,2088,0:01:09.600000
647,1,2107,0:01:10.233333
655,1,2121,0:01:10.700000
657,2,2127,0:01:10.900000
673,1,2171,0:01:12.366667
699,1,2222,0:01:14.066667
710,1,2230,0:01:14.333333
713,1,2236,0:01:14.533333
720,2,2250,0:01:15
734,1,2280,0:01:16
739,2,2312,0:01:17.066667
750,1,2320,0:01:17.333333
748,1,2321,0:01:17.366667
752,1,2333,0:01:17.766667
749,2,2348,0:01:18.266667
754,1,2354,0:01:18.466667
758,2,2391,0:01:19.700000
759,1,2411,0:01:20.366667
764,1,2441,0:01:21.366667
761,2,2449,0:01:21.633333
775,2,2494,0:01:23.133333
778,1,2552,0:01:25.066667
782,1,2555,0:01:25.166667
796,1,2650,0:01:28.333333
800,1,2659,0:01:28.633333
809,1,2700,0:01:30
808,1,2727,0:01:30.900000
818,1,2766,0:01:32.200000
821,1,2797,0:01:33.233333
823,1,2827,0:01:34.233333
830,1,2844,0:01:34.800000
832,1,2864,0:01:35.466667
831,1,2868,0:01:35.600000
842,1,2897,0:01:36.566667
839,1,2897,0:01:36.566667
844,2,2909,0:01:36.966667
848,1,2920,0:01:37.333333
850,1,2959,0:01:38.633333
863,1,2982,0:01:39.400000
864,2,3009,0:01:40.300000
871,1,3037,0:01:41.233333
877,1,3045,0:01:41.500000
872,2,3057,0:01:41.900000
881,1,3077,0:01:42.566667
891,1,3109,0:01:43.633333
893,1,3115,0:01:43.833333
895,1,3131,0:01:44.366667
889,2,3132,0:01:44.400000
